,typesOrg,orgMainType,number,numberOrg
370,boys' school | independent school,educational institution,6,2
654,collegiate university | public university,public university,6,2
1266,institute of technology | organization | public university | research institute | university of excellence,institute of technology,6,5
570,church college | colleges that change lives | liberal arts college in the united states | private not-for-profit educational institution,educational institution,6,4
1396,language regulator,not classified organisation,6,1
1191,higher education institution | organization,educational institution,6,2
1278,institution of the european union | international court,not classified organisation,6,2
975,finance ministry | financial regulatory agency | government agency | united states federal executive department,company or gov. agency,5,4
1582,nonprofit organization | private association of the christian faithful,scientific organisation,5,2
939,faculty of law | open-access publisher | research institute,university,5,3
1659,open-access publisher | public university | research university,public university,5,3
954,faculty | university building,university,5,2
1778,private not-for-profit educational institution | seminary | university,university,5,3
292,boarding school | charitable organization | independent school | school building,educational institution,5,4
120,academy | higher education institution,educational institution,5,2
342,boarding school | secondary school,educational institution,5,2
1680,organization | private university,private university,5,2
488,catholic school | secondary school,educational institution,5,2
486,catholic school | primary school | private school | secondary school,educational institution,5,4
123,academy | language regulator | national academy | organization,scientific organisation,5,4
1601,normal school | public educational institution of the united states | university,university,5,3
99,academy of sciences | publishing company,academy of sciences,5,2
874,educational organization | exempt charity | higher education institution | public university | research university,public university,5,5
1775,private not-for-profit educational institution | research university,university,5,2
1792,private university | research university,private university,5,2
870,educational institution | university,university,5,2
805,direct reporting unit | military school | staff college,educational institution,5,3
724,constitutional institution | supreme court,not classified organisation,5,2
836,educational institution | higher education institution,educational institution,5,2
1899,school | secondary school,educational institution,5,2
797,department of the united kingdom government | foreign affairs ministry,company or gov. agency,5,2
2021,yeshiva,not classified organisation,5,1
722,constitutional institution | labor court | superior court,not classified organisation,5,3
437,business | enterprise,company or gov. agency,5,2
454,business | university,university,5,2
89,academy of sciences | library | national academy | open-access publisher,academy of sciences,5,4
1755,pressure group,not classified organisation,5,1
1462,local court (germany),not classified organisation,5,1
1461,literary society,learned society,5,1
219,armed organization | criminal organization | hate group | political organization | terrorist organization,not classified organisation,5,5
1341,junior school | upper school,educational institution,5,2
678,community college | public educational institution of the united states | school,educational institution,5,3
1002,former university | private not-for-profit educational institution | seminary,university,5,3
271,boarding school | boys' high school | public school | secondary school,educational institution,5,4
571,church college | colleges that change lives | liberal arts college | private not-for-profit educational institution,educational institution,5,4
549,charitable organization | independent school | secondary school,educational institution,5,3
1473,magazine,not classified organisation,5,1
1436,legal person | university,university,5,2
1440,legislative term of the grand national assembly of bulgaria,not classified organisation,5,1
1035,german student corps | lebenscorps,not classified organisation,5,2
1036,girls' high school,educational institution,5,1
1469,lyceum,not classified organisation,5,1
1500,military academy | university in ontario,university,5,2
1160,high school | public institution | school,educational institution,5,3
645,colleges that change lives | liberal arts college | private not-for-profit educational institution | private university | university campus,private university,5,5
641,colleges that change lives | liberal arts college in the united states,educational institution,5,2
1203,higher school in the empire of japan,educational institution,5,1
1319,japanese combined junior and senior high school,educational institution,5,1
354,boys' school | catholic school | high school | jesuit school | nonprofit organization | university-preparatory school,university,5,6
1214,historic district | university-preparatory school,university,5,2
739,court of appeal,not classified organisation,5,1
771,czech research institution | open-access publisher | public university | publishing company | university,public university,5,5
769,czech research institution | open-access publisher | organization | public university | publishing company,public university,5,5
752,court | supreme court,not classified organisation,5,2
1983,united states court of appeals,not classified organisation,5,1
2009,voivodeship administrative court,not classified organisation,5,1
2013,wikimedia disambiguation page,not classified organisation,5,1
2015,women's college,educational institution,5,1
1998,university | university campus,university,5,2
1979,unibuc faculty,university,4,1
1968,trial court,not classified organisation,4,1
1951,studentenverbindung | turnerschaft,not classified organisation,4,2
776,danish district court,not classified organisation,4,1
773,daily newspaper,not classified organisation,4,1
2002,upper house,not classified organisation,4,1
13,academic institution | educational institution,educational institution,4,2
12,academic institution | college | liberal arts college in the united states | private not-for-profit educational institution | school | university | women's college,university,4,7
8,academic gymnasium,educational institution,4,1
635,college | school,educational institution,4,2
1185,higher education institution | lyceum,educational institution,4,2
1176,higher education institution directly under ministry of education of the people’s republic of china | public university | university | vice-ministerial level university,public university,4,4
1171,high school | university-preparatory school,university,4,2
1164,high school | religious school | university campus | university-preparatory school,university,4,4
1134,hesder,not classified organisation,4,1
1130,herbarium | organization | university,university,4,3
1123,gymnasium | manor house,educational institution,4,2
1108,group of universities and institutions (france) | university in france,university,4,2
1097,grammar school | voluntary grammar and prep school,educational institution,4,2
1094,grammar school | high school | primary school,educational institution,4,3
1076,government commission,company or gov. agency,4,1
1269,institute of technology | public educational institution of the united states | public research university,institute of technology,4,3
1264,institute of technology | local internet registry | public university,institute of technology,4,3
1232,historically black college or university | private not-for-profit educational institution | women's college in the united states,university,4,3
1231,historically black college or university | private not-for-profit educational institution | university | university campus,university,4,4
599,collection | university in quebec,university,4,2
1317,israeli district court,not classified organisation,4,1
1299,international court | supreme court,not classified organisation,4,2
1294,interior ministry,not classified organisation,4,1
1357,labor court,not classified organisation,4,1
1340,judiciary | supreme court,not classified organisation,4,2
1411,law review,not classified organisation,4,1
195,architectural structure | business school,educational institution,4,2
1399,language regulator | national academy | organization,scientific organisation,4,3
1389,land-grant university | state university system,university,4,2
1371,land-grant university | open-access publisher | public educational institution of the united states | research i university | university,university,4,5
1009,fraternal organization | religious organization,not classified organisation,4,2
996,former entity,not classified organisation,4,1
338,boarding school | private school | secondary school,educational institution,4,3
548,charitable organization | independent school | school,educational institution,4,3
1432,learned society | scientific society,learned society,4,2
1464,local internet registry | open-access publisher | organization | public university,public university,4,4
1458,liberal arts college | state public university,public university,4,2
1457,liberal arts college | public educational institution of the united states | university,university,4,3
1453,liberal arts college | private not-for-profit educational institution | school,educational institution,4,3
1598,nonprofit organization | writers union,scientific organisation,4,2
1590,nonprofit organization | school,scientific organisation,4,2
1549,national university,university,4,1
1542,national red cross and red crescent society,learned society,4,1
1535,musical group,not classified organisation,4,1
971,federated state | state government,company or gov. agency,4,2
968,federal university,university,4,1
284,boarding school | castle | catholic school | day school | nonprofit organization | secondary school,scientific organisation,4,6
279,boarding school | boys' school | independent school | school,educational institution,4,4
141,advisory board | consejo | council of state,not classified organisation,4,3
131,administrative agency in norway,not classified organisation,4,1
1621,open-access publisher | pontifical university | private not-for-profit educational institution | private university,private university,4,4
1618,open-access publisher | pontifical university | private educational institution | private not-for-profit educational institution | university,university,4,5
1616,open-access publisher | police academy | public university | publishing company,public university,4,4
524,cegep | high school,educational institution,4,2
1718,parliament,not classified organisation,4,1
1712,panel,not classified organisation,4,1
1694,organization | school accreditor,educational institution,4,2
1692,organization | regulatory college,educational institution,4,2
1689,organization | public university | research university | university,public university,4,4
399,building | military school,educational institution,4,2
883,educational organization | higher education institution | organization | public research university,university,4,4
296,boarding school | college | independent school,educational institution,4,3
866,educational institution | school | university-preparatory school,university,4,3
1777,private not-for-profit educational institution | seminary,educational institution,4,2
1771,private not-for-profit educational institution | private university | publishing company,private university,4,3
1758,primary school | private school,educational institution,4,2
1754,preparatory school,educational institution,4,1
1750,position,not classified organisation,4,1
1735,political faction | wing of the party,not classified organisation,4,2
389,building | comprehensive school | upper secondary school in finland,educational institution,4,3
1793,private university | university,private university,4,2
1839,public school | upper secondary school in norway,educational institution,4,2
422,business school | higher education institution | public educational institution of the united states,educational institution,4,3
413,burschenschaft | organization,not classified organisation,4,2
1947,state university system | university,university,4,2
1909,secondary school | state-integrated school,educational institution,4,2
1880,research university | university,university,4,2
1878,research institute | wikimedia list article,research organisation,4,2
56,academic publisher | national university | research university,university,4,3
835,educational institution | high school,educational institution,4,2
831,educational institution | faculty of law,educational institution,4,2
309,boarding school | girls' school | independent school,educational institution,4,3
2018,writers union,not classified organisation,4,1
1993,university in ontario,university,4,1
2022,yeshiva high school,educational institution,4,1
29,academic institution | university college,university,3,2
1153,high school | open-access publisher | private not-for-profit educational institution | private university | research university,private university,3,5
1116,gymnasium in germany | school,educational institution,3,2
1113,gymnasium in germany | humanistic gymnasium,educational institution,3,2
1180,higher education institution in the former exterior territories of japan | imperial universities of japan,educational institution,3,2
40,academic publisher | colleges that change lives | liberal arts college in the united states | private not-for-profit educational institution,educational institution,3,4
1932,spanish electoral administration,not classified organisation,3,1
420,business school | faculty | organization,university,3,3
414,burschenschaft | q1810925,not classified organisation,3,2
412,burschenschaft | nonprofit organization,scientific organisation,3,2
411,burschenschaft | german student corps,not classified organisation,3,2
637,college | state public university,public university,3,2
630,college | private not-for-profit educational institution | school,educational institution,3,3
624,college | liberal arts college | private not-for-profit educational institution,educational institution,3,3
1188,higher education institution | open-access publisher | private educational institution | university,university,3,4
1093,grammar school | high school,educational institution,3,2
1206,hispanic-serving institution | public educational institution of the united states | public university,public university,3,3
1234,honor society,learned society,3,1
1263,institute of technology | local internet registry | public research university | university of excellence,institute of technology,3,4
1872,regulatory college,educational institution,3,1
442,business | enterprise | public company,company or gov. agency,3,3
1893,school district,educational institution,3,1
1257,independent school | school,educational institution,3,2
1270,institute of technology | public research university | university of excellence,institute of technology,3,3
1267,institute of technology | polytechnic | public university | video game publisher,institute of technology,3,4
663,combination of undergraduate and graduate school,educational institution,3,1
240,atheneum | public school,educational institution,3,2
382,building complex | gymnasium,educational institution,3,2
1311,international organization | specialized agency of the united nations,not classified organisation,3,2
272,boarding school | boys' school | catholic school | independent school,educational institution,3,4
266,board of trade | not-for-profit arts organization,not classified organisation,3,2
262,big city | city-state | einheitsgemeinde of germany | federal capital | federated state of germany | hanseatic city | independent city in berlin | largest city | metropolis | seat of government | town divided by border | urban municipality in germany,company or gov. agency,3,12
259,bicameral legislature,not classified organisation,3,1
257,basketball team | community college | public educational institution of the united states,educational institution,3,3
1305,international organization,not classified organisation,3,1
1851,q104645948,not classified organisation,3,1
77,academy of sciences | award,academy of sciences,3,2
439,business | enterprise | law firm,company or gov. agency,3,3
1865,q66147543,not classified organisation,3,1
1885,resistance movement,not classified organisation,3,1
798,department of the united kingdom government | foreign affairs ministry | government agency,company or gov. agency,3,3
1300,international court | trial court,not classified organisation,3,2
1293,intergovernmental organization | tribunal,company or gov. agency,3,2
1049,golf club | golf course,not classified organisation,3,2
1048,girls' school | secondary school,educational institution,3,2
1044,girls' school | independent school,educational institution,3,2
1059,government agency | government body of australia | law commission,company or gov. agency,3,3
1058,government agency | government body of australia | human rights commission,company or gov. agency,3,3
596,collection | open-access publisher | university in british columbia,university,3,3
1321,japanese state institution | supreme court,not classified organisation,3,2
1315,islamic university | open-access publisher | university,university,3,3
455,cabinet,not classified organisation,3,1
92,academy of sciences | national academy | open-access publisher,academy of sciences,3,3
84,academy of sciences | educational institution | research institute,educational institution,3,3
465,canadian appellate court,not classified organisation,3,1
461,campus university | public educational institution of the united states,university,3,2
1359,labor union,not classified organisation,3,1
1358,labor court | specialized court,not classified organisation,3,2
1347,justice ministry | ministry of norway,not classified organisation,3,2
584,church college | university,university,3,2
582,church college | private university,private university,3,2
579,church college | private not-for-profit educational institution | school,educational institution,3,3
1398,language regulator | learned society | national academy,learned society,3,3
1003,foundation,not classified organisation,3,1
995,former educational institution | university in france,university,3,2
1032,german state agency | justice ministry,not classified organisation,3,2
1392,landgericht,not classified organisation,3,1
482,catholic school | gymnasium | piarist school,educational institution,3,3
471,cathedral school | gymnasium,educational institution,3,2
812,division,not classified organisation,3,1
595,collection | liberal arts college | private not-for-profit educational institution,educational institution,3,3
574,church college | historic district | private not-for-profit educational institution,educational institution,3,3
573,church college | educational institution | private not-for-profit educational institution,educational institution,3,3
569,church college | college | private not-for-profit educational institution,educational institution,3,3
563,christian school | private not-for-profit educational institution | private university,private university,3,3
674,community college,educational institution,3,1
1431,learned society | publishing company,learned society,3,2
1415,law school | private for-profit educational institution,educational institution,3,2
1465,local internet registry | public university,public university,3,2
970,federated state of germany,not classified organisation,3,1
990,foreign intelligence service | independent agency of the united states government,company or gov. agency,3,2
1445,liberal arts college in the united states,educational institution,3,1
555,choral group | studentenverbindung,not classified organisation,3,2
98,academy of sciences | organization | public research university,university,3,3
819,dyad,not classified organisation,3,1
314,boarding school | high school | private school,educational institution,3,3
1786,private school | school,educational institution,3,2
1474,magazine | political organization,not classified organisation,3,2
1470,lycée,not classified organisation,3,1
962,federal law enforcement agency of the united states | intelligence agency | united states federal agency,not classified organisation,3,3
985,foreign affairs ministry | government agency | united states federal executive department,company or gov. agency,3,3
178,appellate court | high court,not classified organisation,3,2
1498,military academy | national defense university | school,university,3,3
1494,military academy | military school,educational institution,3,2
1490,middle school,educational institution,3,1
1526,moroccan public institution | open-access publisher | university,university,3,3
542,charitable organization | day school | independent school,educational institution,3,3
533,central committee | cpsu body,not classified organisation,3,2
116,academy school | school | secondary school,educational institution,3,3
114,academy school | grammar school | secondary school,educational institution,3,3
847,educational institution | national research university | open-access publisher | public university,public university,3,4
709,consortium of universities in france | higher education and research cluster,research organisation,3,2
336,boarding school | private school,educational institution,3,2
529,census-designated place in the united states | open-access publisher | private not-for-profit educational institution | private university,private university,3,4
1544,national research university | open-access publisher,university,3,2
350,botanical garden | private not-for-profit educational institution | university,university,3,3
347,boarding school | voluntary secondary school,educational institution,3,2
344,boarding school | secondary school | university-preparatory school,university,3,3
285,boarding school | catholic school | independent school,educational institution,3,3
1566,non-governmental organization | nonprofit corporation | nonprofit organization,scientific organisation,3,3
1565,non-governmental organization,company or gov. agency,3,1
1559,navy,not classified organisation,3,1
1584,nonprofit organization | public university,public university,3,2
1576,nonprofit organization | open-access publisher | public university | university college,public university,3,4
503,catholic university | college | jesuit school,university,3,3
1693,organization | school,educational institution,3,2
1724,parliamentary group,not classified organisation,3,1
1714,paramilitary organization,not classified organisation,3,1
509,catholic university | jesuit university | organization | university,university,3,4
507,catholic university | jesuit university | open-access publisher | pontifical university,university,3,4
152,affiliated school | collegiate university,university,3,2
885,educational organization | higher education institution | private university,private university,3,3
130,ad-hoc tribunal | international court,not classified organisation,3,2
1644,open-access publisher | public educational institution | public university | publishing company,public university,3,4
1643,open-access publisher | public educational institution | public university,public university,3,3
1634,open-access publisher | private university | university,private university,3,3
878,educational organization | higher education institution | open-access publisher | organization | public university,public university,3,5
1649,open-access publisher | public research university | public university,public university,3,3
138,administrative courts,not classified organisation,3,1
1985,united states federal agency,not classified organisation,3,1
2016,women's college in the united states,educational institution,3,1
731,corporation | museum | open-access publisher | university in ontario,university,3,4
1131,heritage site | high school,educational institution,3,2
1943,state government,company or gov. agency,3,1
1941,staff college,educational institution,3,1
1970,tribunal de grande instance,not classified organisation,3,1
1959,supreme court | united states article iii court | wikimedia portal,not classified organisation,3,3
427,business school | publishing company,educational institution,3,2
22,academic institution | nonprofit organization,scientific organisation,2,2
2024,zawiya,not classified organisation,2,1
2006,urban school,educational institution,2,1
428,business school | university in quebec,university,2,2
1957,superior court | trial court,not classified organisation,2,2
1980,unicameral legislature,not classified organisation,2,1
2011,voluntary secondary school,educational institution,2,1
1966,think tank,not classified organisation,2,1
1967,transport company,company or gov. agency,2,1
1969,tribunal,not classified organisation,2,1
1938,sports tribunal,not classified organisation,2,1
1942,state agency of north carolina | state university system,university,2,2
1169,high school | science secondary school,educational institution,2,2
38,academic publisher | catholic university | private university,private university,2,3
36,academic publisher | catholic university | multicampus university | private not-for-profit educational institution | private university,private university,2,5
1931,south australian royal commission,not classified organisation,2,1
1928,social movement,not classified organisation,2,1
1926,social club | women's organization,not classified organisation,2,2
1923,senate | upper house of u.s. state legislature,not classified organisation,2,2
1921,senate of bremen,not classified organisation,2,1
419,business school | church college | private not-for-profit educational institution,educational institution,2,3
749,court | judiciary of russia,not classified organisation,2,2
415,"burschenschaft | studentenverbindung, catholic",not classified organisation,2,2
638,college | university,university,2,2
628,college | organization,educational institution,2,2
626,college | men's college | private not-for-profit educational institution,educational institution,2,3
622,college | historic district | private not-for-profit educational institution,educational institution,2,3
1189,higher education institution | open-access publisher | private not-for-profit educational institution,educational institution,2,3
506,catholic university | jesuit university | open-access publisher | organization | pontifical university | university,university,2,6
1606,oberverwaltungsgericht,not classified organisation,2,1
172,anti-corruption agency,not classified organisation,2,1
899,eingetragener verein,not classified organisation,2,1
881,educational organization | higher education institution | open-access publisher | public research university | university,university,2,5
303,boarding school | day school | preparatory school,educational institution,2,3
302,boarding school | day school | nonprofit organization | secondary school,scientific organisation,2,4
148,advocacy group | organization,not classified organisation,2,2
1625,open-access publisher | private educational institution | private not-for-profit educational institution | university,university,2,4
1620,open-access publisher | pontifical university | private not-for-profit educational institution,university,2,3
1610,open-access publisher,company or gov. agency,2,1
129,academy | voluntary association,learned society,2,2
1640,open-access publisher | public educational institution of the united states | public research university | set,university,2,4
157,aided school | high school | higher secondary school,educational institution,2,3
156,agrégation | concours,not classified organisation,2,2
869,educational institution | think tank,educational institution,2,2
352,boys' high school | high school | secondary school,educational institution,2,3
1585,nonprofit organization | publishing company,scientific organisation,2,2
1574,non-ministerial government department | supreme court,company or gov. agency,2,2
518,catholic university | pontifical university | private university,private university,2,3
398,building | high school | school,educational institution,2,3
395,building | gymnasium,educational institution,2,2
1700,organization | student society,learned society,2,2
1697,organization | social club,not classified organisation,2,2
1681,organization | professional association,not classified organisation,2,2
1678,organization | private not-for-profit educational institution | university,university,2,3
334,boarding school | organization,educational institution,2,2
328,boarding school | independent school | war memorial,educational institution,2,3
299,boarding school | day school | independent school,educational institution,2,3
297,boarding school | combined school | private school | secondary school,educational institution,2,4
1706,organization | women's organization,not classified organisation,2,2
127,academy | organization,learned society,2,2
1533,museum,scientific organisation,2,1
1531,multinational corporation | public company,company or gov. agency,2,2
1569,non-governmental organization | nonprofit organization | scouting association | youth organisation,scientific organisation,2,4
339,boarding school | private school | secondary school | state-integrated school,educational institution,2,4
1567,non-governmental organization | nonprofit organization,scientific organisation,2,2
1558,naval academy | staff college | university campus,university,2,3
1557,naval academy | public educational institution of the united states | university campus,university,2,3
1594,nonprofit organization | think tank,scientific organisation,2,2
1592,nonprofit organization | studentenverbindung,scientific organisation,2,2
1588,nonprofit organization | regulatory college,educational institution,2,2
915,english country house | public school,educational institution,2,2
914,engineering college | private not-for-profit educational institution | university,university,2,3
911,engineering college | faculty,university,2,2
910,engineering college,educational institution,2,1
909,embassy,not classified organisation,2,1
926,executive branch | federal government,company or gov. agency,2,2
928,executive branch | institution of the european union,not classified organisation,2,2
532,central committee,not classified organisation,2,1
531,central bank,not classified organisation,2,1
530,census-designated place in the united states | public educational institution of the united states | university,university,2,3
126,academy | open-access publisher | public university,public university,2,3
121,academy | historical society,learned society,2,2
118,academy | archive | publishing company,learned society,2,3
113,academy school | girls' school | secondary school,educational institution,2,3
1726,personal prelature,not classified organisation,2,1
1725,periodical,company or gov. agency,2,1
840,educational institution | house | library,educational institution,2,3
834,educational institution | grand établissement,public university,2,2
706,conservatory,not classified organisation,2,1
496,catholic seminary | private not-for-profit educational institution,educational institution,2,2
494,catholic seminary | major seminary | roman college,educational institution,2,3
1529,motor club,not classified organisation,2,1
1489,membership organization | non-partisan organization,not classified organisation,2,2
191,architectural landmark | educational institution | mosque,educational institution,2,3
961,federal government,company or gov. agency,2,1
957,federal courts (germany) | labor court | supreme court,not classified organisation,2,3
951,faculty | medical school,university,2,2
945,faculty | graduate school | higher education institution | law school,university,2,4
987,foreign affairs ministry | ministries of japan,not classified organisation,2,2
186,architectural heritage monument | courthouse,not classified organisation,2,2
184,architectural ensemble | boarding school | charitable organization | educational institution | independent school | school building,educational institution,2,6
180,appellate court | superior court,not classified organisation,2,2
1492,middle school | school,educational institution,2,2
1528,moroccan public institution | university,university,2,2
540,charitable organization | college of the university of oxford | university building,university,2,3
539,charitable organization | college,educational institution,2,2
930,executive branch | state government of the united states,company or gov. agency,2,2
929,executive branch | legislature | municipal council | municipality of the state of palestine,not classified organisation,2,4
1437,legislative assembly | legislative term,not classified organisation,2,2
552,charitable organization | learned society,learned society,2,2
1480,mathematical society,learned society,2,1
491,catholic seminary | catholic university | college | novitiate,university,2,4
1732,police academy,learned society,2,1
1761,primary school | school | secondary school,educational institution,2,3
1740,political organization | students' union,not classified organisation,2,2
1737,political movement,not classified organisation,2,1
101,academy of sciences | statutory corporation,academy of sciences,2,2
97,academy of sciences | organization,academy of sciences,2,2
1791,private university | publishing company,private university,2,2
822,educational facility,research facility,2,1
856,educational institution | private not-for-profit educational institution | university,university,2,3
1788,private school | school grounds,educational institution,2,2
1779,private not-for-profit educational institution | seminary | university building,university,2,3
1468,lower secondary school,educational institution,2,1
204,architectural structure | secondary school,educational institution,2,2
196,architectural structure | educational institution | kantonsschule | school building,educational institution,2,4
1407,law firm | nonprofit organization,scientific organisation,2,2
568,church college | college | girls' school | private not-for-profit educational institution,educational institution,2,4
566,church archive | library,not classified organisation,2,2
565,christian school | private university | research university,private university,2,3
545,charitable organization | geographical society | national academy | scientific society,scientific organisation,2,4
1013,fund | nonprofit organization,scientific organisation,2,2
1420,law school | university,university,2,2
1413,law school | open-access publisher,educational institution,2,2
1466,local internet registry | public university | university of excellence,public university,2,3
1460,liceo classico,not classified organisation,2,1
974,field army,not classified organisation,2,1
973,female seminary,not classified organisation,2,1
337,boarding school | private school | school,educational institution,2,3
683,company,company or gov. agency,2,1
994,former educational institution | school,educational institution,2,2
1039,girls' high school | private school,educational institution,2,2
1037,girls' high school | high school,educational institution,2,2
1765,private educational institution | university,university,2,2
1764,private educational institution | private not-for-profit educational institution | university,university,2,3
1763,private club | social club,not classified organisation,2,2
483,catholic school | gymnasium | university dormitory,university,2,3
480,catholic school | former hospital,educational institution,2,2
474,catholic organization | religious organization,not classified organisation,2,2
472,catholic order | hospitaller order | religious military order | subject of international law,not classified organisation,2,4
470,cantonal legislatures of switzerland,not classified organisation,2,1
1811,public educational institution of the united states | public university | university,public university,2,3
814,division of an educational institution | law school,educational institution,2,2
813,division of an educational institution,educational institution,2,1
811,district public prosecutors office,not classified organisation,2,1
1798,professional society,learned society,2,1
1336,judicial council | q129341528,not classified organisation,2,2
1333,journalism school,educational institution,2,1
1332,jesuit university | university,university,2,2
1325,jesuit university | open-access publisher | pontifical university,university,2,3
372,boys' school | jesuit school | private not-for-profit educational institution | secondary school,educational institution,2,4
217,armed forces,not classified organisation,2,1
1015,fürstenschule | gymnasium in germany,educational institution,2,2
1056,government administration | government agency,company or gov. agency,2,2
1355,korporationsverband | studentenverbindung,not classified organisation,2,2
1353,kirch,not classified organisation,2,1
1352,juvenile political organization | vorfeldorganisation,not classified organisation,2,2
589,civil service,not classified organisation,2,1
586,city council,not classified organisation,2,1
221,army,not classified organisation,2,1
218,armed forces | parliamentary army,not classified organisation,2,2
1000,former jesuit school | museum building,scientific organisation,2,2
1042,girls' school | high school | public school,educational institution,2,3
1316,islamic university | publishing company,university,2,2
1313,international sport governing body | non-governmental organization | nonprofit organization,scientific organisation,2,3
1795,privy council,not classified organisation,2,1
112,academy school | girls' school | grammar school | secondary school,educational institution,2,4
109,academy school | boys' school | secondary school,educational institution,2,3
1816,public educational institution of the united states | university campus,university,2,2
1813,public educational institution of the united states | sea grant institution | university,university,2,3
81,academy of sciences | building | language regulator | open-access publisher,academy of sciences,2,4
1859,q2701962,not classified organisation,2,1
795,department of the australian government,company or gov. agency,2,1
789,defunct government institution | government agency,company or gov. agency,2,2
308,boarding school | fürstenschule | gymnasium in germany,educational institution,2,3
1855,q1265246 | voluntary association,not classified organisation,2,2
1312,international school | secondary school,educational institution,2,2
1339,judiciary | organization,not classified organisation,2,2
1064,government agency | interior ministry | ministry of migration | united states federal executive department,company or gov. agency,2,4
670,committee,not classified organisation,2,1
1306,international organization | islamist movement | political party | religious organization,not classified organisation,2,4
1847,public university | university of applied sciences,public university,2,2
1844,public university | state university system | urban university,public university,2,3
440,business | enterprise | law firm | lobbyist | organization,company or gov. agency,2,5
1867,quarter of niger | university,university,2,2
1864,q61415303,not classified organisation,2,1
719,constitutional court | federal courts (germany) | supreme court,not classified organisation,2,3
713,constituent college | educational organization | higher education institution | organization | public research university | university,university,2,6
1874,religious school,educational institution,2,1
64,academic publisher | private university | research university,private university,2,3
58,academic publisher | national university | university | women's college,university,2,4
1292,intergovernmental organization | specialized agency of the united nations,company or gov. agency,2,2
607,college of durham university,university,2,1
1047,girls' school | school,educational institution,2,2
1262,institute of technology,institute of technology,2,1
1253,independent agency of the united states government,company or gov. agency,2,1
1248,ies,not classified organisation,2,1
229,art group,not classified organisation,2,1
1268,institute of technology | private not-for-profit educational institution,institute of technology,2,2
1285,intelligence agency | military unit,not classified organisation,2,2
1284,intelligence agency | military branch,not classified organisation,2,2
664,combined school | primary school,educational institution,2,2
655,collège | high school | primary school,educational institution,2,3
234,association football club | men's association football team,not classified organisation,2,2
232,aspect of history,not classified organisation,2,1
1288,intergovernmental organization,company or gov. agency,2,1
621,college | high school,educational institution,2,2
617,college | educational institution,educational institution,2,2
375,boys' school | public school | secondary school,educational institution,2,3
258,bible society | charitable organization,learned society,2,2
1101,grand établissement | open-access publisher | university,public university,2,3
1230,historically black college or university | private not-for-profit educational institution | university campus,university,2,3
1217,historical cultural heritage site | residential college,educational institution,2,2
51,academic publisher | language school | national university | university,university,2,4
1903,schülerverbindung,not classified organisation,2,1
1902,school | women's college,educational institution,2,2
1892,school building,educational institution,2,1
1919,seminary | university building,university,2,2
1916,sekolah tinggi,not classified organisation,2,1
1913,secret society,learned society,2,1
770,czech research institution | open-access publisher | public university | publishing company,public university,2,4
763,cultural heritage | school building | secondary school,educational institution,2,3
727,corporate body of the european union | international university | open-access publisher | research institute,university,2,4
1910,secondary school | university campus,university,2,2
1907,scientific society | voluntary association,scientific organisation,2,2
45,academic publisher | government agency | ministry of agriculture | united states federal agency | united states federal executive department,company or gov. agency,2,5
1095,grammar school | private school,educational institution,2,2
1087,graduate school | law school | law school in south korea,educational institution,2,3
1120,gymnasium | high school | school,educational institution,2,3
1209,historic district | historically black college or university | private not-for-profit educational institution,university,2,3
1208,historic district,not classified organisation,2,1
1204,higher secondary school,educational institution,2,1
1202,higher federal authority | national defense university | public university,public university,2,3
1201,higher federal authority | military school | public university,public university,2,3
1199,higher education institution | school building,educational institution,2,2
1198,higher education institution | research institute,research organisation,2,2
1236,hospital | medical school | university hospital,university,2,3
1071,government agency | state agency of the united states,company or gov. agency,2,2
1070,government agency | ministry of labour | united states federal executive department,company or gov. agency,2,3
1067,government agency | judiciary,company or gov. agency,2,2
1065,government agency | interior ministry | united states federal executive department,company or gov. agency,2,3
1102,grand établissement | public university,public university,2,2
360,boys' school | clandestine center of detention and torture | high school | lyceum,educational institution,2,4
23,academic institution | organization,educational institution,2,2
24,academic institution | organization | research institute,research organisation,2,3
25,academic institution | philosophical-theological university,university,2,2
5,academic archive | academy of sciences | archive | language society (17th an 18th century) | learned society | national academy,learned society,2,6
358,boys' school | charitable organization | independent school,educational institution,2,3
356,boys' school | catholic school | private school,educational institution,2,3
241,australian rules football league,not classified organisation,2,1
1159,high school | public educational institution of the united states | university campus,university,2,3
1155,high school | primary school | school | secondary school,educational institution,2,4
1119,gymnasium | gymnasium in germany | humanistic gymnasium,educational institution,2,3
1114,gymnasium in germany | humanistic gymnasium | school building,educational institution,2,3
1109,group | university system,university,2,2
1149,high school | jesuit school | private school | school,educational institution,2,4
1147,high school | independent school,educational institution,2,2
1144,high school in the united states,educational institution,2,1
903,eingetragener verein | veterans' organization,not classified organisation,2,2
900,eingetragener verein | männerbund | q1265246 | q1810925 | studentenverbindung,not classified organisation,2,5
1666,open-access publisher | university in france,university,2,2
1652,open-access publisher | public research university | university in france,university,2,3
137,administrative court | high council of state | supreme court,not classified organisation,2,3
31,academic library | archive | open-access publisher | public educational institution | public university | university,public university,2,6
402,building | open-access publisher | university,university,2,3
20,academic institution | faculty | organization,university,2,3
408,bundesministerium | justice ministry,not classified organisation,2,2
407,building | university,university,2,2
734,country club,not classified organisation,2,1
1143,high school in south korea | private school,educational institution,2,2
1137,high court of japan,not classified organisation,2,1
1126,han,not classified organisation,2,1
368,boys' school | high school,educational institution,2,2
